target_id,RA,Dec,mag1,mag2,author,snr,count
561580855286346112,38.45271448384193,78.10484811592544,11.894553,11.894553,ch,100,3
571175953961785984,53.56176693132204,84.25046167818223,11.46449,11.46449,ch,100,3
315872545150614912,24.00736728404308,32.06748520541296,12.474585,12.474585,ch,100,3
403635876813610624,20.005222897975354,49.79873940742664,11.016954,11.016954,ch,100,3
554352773221654528,51.92537824082452,77.20492281332514,12.839589,12.839589,ch,100,3
2286817545340128000,337.1303469313787,80.73877914527291,12.799086,12.799086,ch,100,3
2267206724666046592,276.6946362181414,74.01302497922553,12.147272,12.147272,ch,100,3
2431163905734793344,4.0077801507713415,-7.023894633439044,12.59684,12.59684,ch,100,3
1722129195314923904,227.3825487316642,82.14891903924519,12.858805,12.858805,ch,100,3
1724817428230119552,257.20812648673586,86.20912614525294,12.906296,12.906296,ch,100,3
410726558584698752,20.00225933256796,54.28085124317197,12.80906,12.80906,ch,100,3
572243992070026880,23.77702864204169,82.1525809226214,12.239374,12.239374,ch,100,3
2520522005997533696,36.006483628235294,7.122357815541015,12.278505,12.278505,ch,100,3
557283792046334464,85.70507548240242,82.22621084417854,12.389196,12.389196,ch,100,3
530873046011005440,6.439276583548032,69.76723532775475,11.138688,11.138688,ch,100,3
1716590542928740352,201.1099308952148,77.93092803356949,12.552763,12.552763,ch,100,3
2475139457403400448,16.013554560872524,-8.040082141271904,12.904987,12.904987,ch,100,3
2297401543051774720,322.1850082802581,79.91987355180332,12.678676,12.678676,ch,100,3
1938286446829771520,352.00075321747323,45.772779972425646,12.712497,12.712497,ch,100,3
1134265648438296960,162.155609029761,82.03282088114753,11.6092205,11.6092205,ch,100,3
488356919930678144,57.22496449136726,65.53322417237011,12.472934,12.472934,ch,100,3
505808059248609280,27.134325496593394,58.00138094868787,12.129508,12.129508,ch,100,3
485167515873722240,89.23085268967866,70.06482754186823,12.697266,12.697266,ch,100,3
574189711036259072,7.325147569534525,86.76815848657473,11.656861,11.656861,ch,100,3
413825635193576064,20.0757521369224,58.12736007906549,12.694196,12.694196,ch,100,3
57447356545354368,52.0198199279868,18.549941041364534,12.668246,12.668246,ch,100,3
554777081631710976,64.82147386718195,78.74742327578156,12.672756,12.672756,ch,100,3
2822698239743774720,356.0074935701298,18.98409990591417,12.83069,12.83069,ch,100,3
2288036560137957376,301.2578606470907,74.03365849705231,12.78731,12.78731,ch,100,3
5177165780601196160,40.008652196770925,-7.921291868072107,11.6805525,11.6805525,ch,100,3
1121274025202852096,142.91605555348005,74.14625342730456,10.997054,10.997054,ch,100,3
1716603771428017920,200.5775676361413,78.0357096414377,11.440317,11.440317,ch,100,3
