  0,  4,  4,  4,  4,  4,  4,  4,  4,  3,  3,  3,  3,  5,  5,  5,  5,  2,  2,  3,  2,  5,  5,  5,  5,  2,  2,  3,  2,  7,  7,  7,  7,  8,  8,  8,  8, 10, 10, 10, 10, 10, 10, 10, 10,  2,  2,  3,  2,  3,  3,  3,  3,  3,  3,  3,  3, 10, 10, 10, 10
  4,  0,  1,  2,  4,  1,  1,  2,  4,  2,  2,  2,  4,  3,  3,  3,  4,  3,  3,  3,  4,  3,  3,  3,  4,  3,  3,  3,  4,  3,  3,  3,  4,  5,  5,  5,  5,  6,  6,  6,  6,  6,  6,  6,  6,  5,  5,  5,  5,  6,  6,  6,  6,  3,  3,  3,  4,  6,  6,  6,  6
  4,  1,  0,  1,  3,  1,  1,  1,  3,  2,  2,  2,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  5,  5,  5,  5,  6,  6,  6,  6,  6,  6,  6,  6,  5,  5,  5,  5,  6,  6,  6,  6,  3,  3,  3,  3,  6,  6,  6,  6
  4,  2,  1,  0,  2,  2,  1,  1,  2,  2,  2,  2,  2,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  5,  5,  5,  5,  6,  6,  6,  6,  6,  6,  6,  6,  5,  5,  5,  5,  6,  6,  6,  6,  3,  3,  3,  3,  6,  6,  6,  6
  4,  4,  3,  2,  0,  4,  3,  2,  1,  4,  3,  2,  2,  4,  3,  3,  3,  4,  3,  3,  3,  4,  3,  3,  3,  4,  3,  3,  3,  4,  3,  3,  3,  5,  5,  5,  5,  6,  6,  6,  6,  6,  6,  6,  6,  5,  5,  5,  5,  6,  6,  6,  6,  4,  3,  3,  3,  6,  6,  6,  6
  4,  1,  1,  2,  4,  0,  1,  2,  4,  2,  2,  2,  4,  3,  3,  3,  4,  2,  2,  2,  4,  3,  3,  3,  4,  3,  3,  3,  4,  3,  3,  3,  4,  5,  5,  5,  5,  7,  7,  7,  7,  6,  6,  6,  6,  4,  4,  4,  4,  5,  5,  5,  5,  2,  2,  2,  4,  6,  6,  6,  6
  4,  1,  1,  1,  3,  1,  0,  1,  3,  2,  2,  2,  3,  3,  3,  3,  3,  2,  2,  2,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  5,  5,  5,  5,  7,  7,  7,  7,  6,  6,  6,  6,  4,  4,  4,  4,  5,  5,  5,  5,  2,  2,  2,  3,  6,  6,  6,  6
  4,  2,  1,  1,  2,  2,  1,  0,  2,  2,  2,  2,  2,  3,  3,  3,  3,  2,  2,  2,  2,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  3,  5,  5,  5,  5,  7,  7,  7,  7,  6,  6,  6,  6,  4,  4,  4,  4,  5,  5,  5,  5,  2,  2,  2,  2,  6,  6,  6,  6
  4,  4,  3,  2,  1,  4,  3,  2,  0,  4,  3,  2,  2,  4,  3,  3,  3,  4,  3,  2,  2,  4,  3,  3,  3,  4,  3,  3,  3,  4,  3,  3,  3,  5,  5,  5,  5,  7,  7,  7,  7,  6,  6,  6,  6,  4,  4,  4,  4,  5,  5,  5,  5,  4,  3,  2,  2,  6,  6,  6,  6
  3,  2,  2,  2,  4,  2,  2,  2,  4,  0,  1,  2,  4,  2,  2,  2,  4,  1,  1,  2,  4,  4,  4,  4,  4,  2,  2,  2,  4,  4,  4,  4,  4,  6,  6,  6,  6,  8,  8,  8,  8,  7,  7,  7,  7,  4,  4,  4,  4,  4,  4,  4,  4,  2,  2,  2,  4,  7,  7,  7,  7
