File, Target_ID, RA, DEC, X, Y, SNR
20250123140010057_7836_558112_solved.fits, 405715392602858112, 24.002949, 49.811549, 375.55308906259893, 555.457394362212, 50.35656232379597
20250123140036810_7836_510624_solved.fits, 403635876813610624, 20.005223, 49.798739, 375.8153672918562, 555.6147103366005, 42.37136424337868
20250123140104968_7836_586752_solved.fits, 405088572196586752, 16.003798, 52.777429, 377.10262736627317, 559.4854891964173, 28.469256900235457
20250123140143951_7836_573472_solved.fits, 413787633322073472, 20.003065, 57.729926, 372.74955153981955, 542.4223830635574, 21.146877656932503
20250123140229471_7836_509280_solved.fits, 505808059248609280, 27.134325, 58.001381, 363.2670529258617, 563.4468977935195, 19.35684993529361
20250123140308495_7836_524448_solved.fits, 513930052870024448, 34.766722, 62.792876, 372.41082820669385, 577.0020425906185, 31.518324512808153
20250123140335444_7836_569536_solved.fits, 467850035940769536, 45.758056, 63.994336, 370.49566845300774, 591.7436577531754, 58.06371233864811
20250123140402471_7836_524832_solved.fits, 554730833421224832, 63.690054, 78.275768, 365.7073374402841, 625.2944293614894, 63.900622629759035
20250123140427480_7836_585984_solved.fits, 571175953961785984, 53.561767, 84.250462, 365.3010777046478, 622.0018934610207, 44.77602700948862
20250123140501626_7836_512800_solved.fits, 571147435378812800, 50.42486, 84.080011, 361.96979648182537, 605.0735569426818, 6.180624292917703
20250123140539546_7836_524928_solved.fits, 574680715994124928, 49.937779, 86.320722, 362.328942930445, 587.6477566179025, 36.712237879463295
20250123140622893_7836_588448_solved.fits, 554167879173688448, 56.613796, 76.796022, 361.07543077933957, 606.3924211997214, 62.566773189383376
20250123140713035_7836_578144_solved.fits, 488356919930678144, 57.224964, 65.533224, 358.97060109034976, 591.23094077799, 12.123689526675014
20250123140814172_7836_561088_solved.fits, 469970817770761088, 60.607847, 58.244008, 364.93989194291595, 591.1761319383464, 45.1024536862924
20250123140909341_7836_555552_solved.fits, 445860593658855552, 48.558129, 51.504041, 379.8683946526337, 590.2239149084564, 59.1287409516665
