File, Target_ID, RA, DEC, X, Y, SNR
20250123153014485_7836_573472_solved.fits, 413787633322073472, 20.003065, 57.729926, 371.04113788324474, 521.1468518463781, 17.887945618521414
20250123153053400_7836_586752_solved.fits, 405088572196586752, 16.003798, 52.777429, 377.09881658490315, 537.5433181371852, 62.401456941843286
20250123153124893_7836_510624_solved.fits, 403635876813610624, 20.005223, 49.798739, 373.659360558951, 533.5931612763904, 122.72531555660501
20250123153152389_7836_558112_solved.fits, 405715392602858112, 24.002949, 49.811549, 370.9676503750257, 533.5384210227307, 49.45186282087938
20250123153234420_7836_565280_solved.fits, 397503591229665280, 20.004565, 44.31828, 377.4087819640254, 525.1043376447096, 16.860505355873592
20250123153336292_7836_525536_solved.fits, 349096453648225536, 28.003953, 42.827354, 374.83916377321856, 532.2119373241716, 96.62218379299598
20250123153428673_7836_539104_solved.fits, 340021295127039104, 36.002739, 44.918712, 369.2030075745646, 547.4227583415575, 106.89895842148019
20250123153509219_7836_556672_solved.fits, 344728574986556672, 32.006035, 40.319257, 372.7236065228023, 540.8761509189692, 18.680571896871083
20250123153616707_7836_501056_solved.fits, 330660568523901056, 32.007142, 37.381892, 377.4372420444189, 556.133730094397, 30.44952182890601
20250123153725954_7836_515456_solved.fits, 331732141388515456, 36.015846, 38.286471, 372.00610822539267, 560.0176566849445, 22.698383137845237
20250123153817083_7836_580128_solved.fits, 336350743061280128, 44.001832, 42.216977, 368.95423982103534, 559.8317617947323, 119.6541742819914
20250123153851786_7836_574496_solved.fits, 337064983238074496, 40.012759, 42.509395, 364.8383429910791, 556.5319343322058, 30.72167691166456
20250123153942908_7836_547520_solved.fits, 235309373975147520, 52.007227, 40.014738, 367.3437735522094, 573.6144769018259, 51.99944285517515
20250123154024196_7836_592160_solved.fits, 237915319612892160, 51.787334, 42.11287, 369.6294257083011, 573.9361883022387, 10.630756972483212
20250123154133762_7836_555552_solved.fits, 445860593658855552, 48.558129, 51.504041, 370.1655230724893, 571.9978394606106, 72.52519756678167
20250123154240686_7836_526528_solved.fits, 141039201218726528, 40.001572, 35.304716, 378.08879244175137, 557.2931606276887, 89.89319857101587
20250123154437741_7836_538688_solved.fits, 112083498079138688, 48.000931, 25.293634, 389.7530787035384, 574.2859062309656, 57.18676131914037
20250123154552932_7836_585504_solved.fits, 68818810739685504, 52.001842, 24.511918, 389.8685859212527, 573.018674101066, 81.27694952439073
20250123154658361_7836_554368_solved.fits, 57447356545354368, 52.01982, 18.549941, 391.44819401504054, 557.2495017530074, 95.81743953115165
20250123154800218_7836_562720_solved.fits, 58777589518462720, 48.006826, 18.192476, 397.74987105251137, 573.7807827901374, 72.36506537317429
20250123154854542_7836_533216_solved.fits, 108389998000633216, 44.055617, 20.380265, 414.57620904819936, 572.1020295630703, 103.9289949713248
20250123155003136_7836_586144_solved.fits, 126353264924086144, 40.008214, 26.146969, 386.4979708786146, 537.9662684325328, 85.69434699998514
20250123155100058_7836_527008_solved.fits, 84834060887227008, 40.006377, 19.578075, 396.88736905694185, 566.0881450131432, 91.63520166244365
20250123155149941_7836_546400_solved.fits, 32126840706246400, 44.004555, 13.702854, 404.3243633207195, 561.7777640407811, 77.79508131926121
20250123155246252_7836_572192_solved.fits, 26928830766472192, 40.007481, 13.889769, 405.1240432991176, 560.5080693360759, 131.43915740689945
20250123155308611_7836_545824_solved.fits, 20865019843645824, 44.017483, 8.750881, 406.9540581728812, 582.8723257256245, 119.87998422993688
20250123155342182_7836_556032_solved.fits, 3275667176069756032, 52.018276, 4.905358, 412.6879305691548, 573.2775926119467, 58.742080161403614
20250123155436917_7836_593536_solved.fits, 5550923108193536, 44.002875, 5.436259, 420.2002062036238, 546.8130318528671, 94.8342449806794
20250123155529869_7836_580480_solved.fits, 1366899111780480, 44.003431, 2.5314, 424.84174281486736, 548.5897841204747, 82.0549576063422
20250123155627159_7836_524384_solved.fits, 2507147477837824384, 32.017124, 0.002959, 423.79903018354815, 540.4599057239485, 108.54678053860147
20250123155652705_7836_573184_solved.fits, 2510836751665773184, 28.014008, 0.527801, 421.5313124859992, 524.0654060830279, 104.90754287068911
20250123155719493_7836_523744_solved.fits, 2561481322392623744, 24.006556, 4.212554, 419.1195678222652, 524.8377184674121, 107.17943097090507
20250123155753019_7836_523072_solved.fits, 23837931781923072, 36.027726, 9.507263, 401.9803451352776, 545.7170641999251, 91.10137049660032
20250123155847181_7836_591424_solved.fits, 289337966613591424, 24.014169, 23.084871, 394.158056928216, 537.6105764634967, 98.7126381060577
20250123155918196_7836_539648_solved.fits, 103758885089739648, 32.017425, 23.030824, 387.6671433514066, 530.0421503758064, 85.31552117308225
20250123160005565_7836_579168_solved.fits, 2804214212329479168, 16.00125, 24.289258, 400.9645733921476, 524.9160578337915, 103.02844146651778
20250123160034002_7836_517440_solved.fits, 307643323387517440, 16.004719, 27.774415, 394.6681139111022, 531.1842957300288, 147.43595821721465
20250123160119487_7836_534624_solved.fits, 293680552212234624, 20.010058, 24.804272, 395.16945369802255, 523.7556196344149, 92.33049587151946
20250123160207288_7836_530784_solved.fits, 320214211627030784, 20.0117, 34.666537, 385.00171423837844, 539.5577473099703, 102.90472190916627
20250123160245947_7836_505600_solved.fits, 316757415788505600, 20.004839, 32.885986, 387.53509032121264, 531.1582845145074, 77.73684092308945
20250123160333307_7836_516832_solved.fits, 319187813226616832, 24.011, 37.015209, 380.48388270939233, 524.2805789230373, 99.73954862339123
20250123160420019_7836_514912_solved.fits, 315872545150614912, 24.007367, 32.067485, 385.34287494458465, 543.8016791463755, 71.72826865424611
20250123160518675_7836_588832_solved.fits, 370889117707288832, 16.009786, 39.404601, 385.0850399981334, 517.8691615582331, 89.68276763105524
20250123160606260_7836_515296_solved.fits, 2876431171130615296, 4.014362, 35.520293, 395.39416362475555, 497.6637682494882, 104.02056594992081
20250123160627750_7836_536736_solved.fits, 395029312112036736, 4.008703, 51.616858, 387.76225963418455, 500.0859740730917, 44.949256879400174
