File, Target_ID, RA, DEC, X, Y, SNR
20250123153027696_7838_154304_solved.fits, 1728342810401554304, 205.300193, 86.424389, 491.8755939681721, 787.9938430712047, 56.94420030084686
20250123153154303_7838_147520_solved.fits, 235309373975147520, 52.007227, 40.014738, 610.5763309959774, 631.2936887691834, 45.43063806958068
20250123153236886_7838_172192_solved.fits, 26928830766472192, 40.007481, 13.889769, 658.0157505274756, 637.4694940845209, 235.9396491483888
20250123153323976_7838_119392_solved.fits, 552621111128219392, 80.719391, 78.355216, 472.6108632914178, 681.6739287663312, 153.2128804292035
20250123153427061_7838_174496_solved.fits, 337064983238074496, 40.012759, 42.509395, 616.3594566861597, 631.3162624555473, 38.21308876375673
20250123153513504_7838_134240_solved.fits, 505808304072634240, 27.142553, 58.047492, 588.1429922454273, 618.5485131970131, 1.5819531608467479
20250123153653800_7838_123904_solved.fits, 1722129195314923904, 227.382549, 82.148919, 165.30405821013153, 772.7941579940607, 1.465188286207519
20250123153826113_7838_135264_solved.fits, 1716660327557435264, 198.346902, 78.321938, 505.5115878673613, 783.56677644902, 62.17058746618289
20250123154015385_7838_120672_solved.fits, 5173110262026220672, 44.031283, -9.923611, 650.093678700824, 643.5225620644271, 72.5797696674662
20250123154136118_7838_186144_solved.fits, 126353264924086144, 40.008214, 26.146969, 644.8337114375951, 615.9063842732824, 163.78437723440493
20250123154249428_7838_143680_solved.fits, 136299004728743680, 44.011732, 32.272575, 633.9872846083983, 647.6761901281975, 105.81842933952191
20250123154350275_7838_191424_solved.fits, 289337966613591424, 24.014169, 23.084871, 657.155278844148, 644.3488603470413, 312.25668790706726
20250123154425823_7838_115456_solved.fits, 331732141388515456, 36.015846, 38.286471, 628.2356338895875, 642.4424788955067, 7.810373616465238
20250123154538703_7838_144800_solved.fits, 1148710271993644800, 114.804392, 82.293367, 442.5560065489698, 706.7126622702284, 116.3042919387549
20250123154632381_7838_174688_solved.fits, 574755719006674688, 41.697748, 86.619195, 496.68128929607155, 635.4470691401928, 85.14228295159768
20250123154739244_7838_125376_solved.fits, 1720035858318725376, 192.824623, 82.698134, 486.3134305923431, 790.0729753363901, 50.63250579262428
20250123154927431_7838_171520_solved.fits, 1938286446829771520, 352.000753, 45.77278, 661.2715580179363, 671.6529648021595, 76.70232320981722
20250123155107070_7838_128928_solved.fits, 1716622841082828928, 201.935475, 78.291714, 513.6570948775617, 794.271509914171, 69.63042397390011
20250123155301119_7838_108928_solved.fits, 77631366372108928, 32.000343, 15.097586, 668.3029631045042, 637.5937117173405, 95.18721960294641
20250123155502836_7838_190272_solved.fits, 1717379992277590272, 180.626674, 78.391375, 488.30412572784695, 782.2307905399094, 3.2233376016242654
20250123155643852_7838_194816_solved.fits, 1140341927651394816, 103.191685, 78.403889, 464.824097543937, 685.4332127418111, 163.83059367847272
20250123155743769_7838_185504_solved.fits, 68818810739685504, 52.001842, 24.511918, 647.3734989595765, 633.5921170564623, 157.79471948363508
20250123155900852_7838_164928_solved.fits, 371789445932364928, 20.002414, 40.394804, 646.57220113695, 644.9574105343319, 64.90276638012993
20250123160030006_7838_194720_solved.fits, 2303298159488494720, 286.603217, 86.017931, 582.9581520076729, 663.6395152740711, 96.097581517185
20250123160217906_7838_159648_solved.fits, 2304150963898059648, 313.071414, 86.881428, 580.6424131816112, 720.853457657067, 7.0705146387753945
20250123160404753_7838_101056_solved.fits, 330660568523901056, 32.007142, 37.381892, 640.2347955726677, 647.502184737397, 27.31235055101884
20250123160513110_7838_183840_solved.fits, 1722039585117283840, 217.510234, 82.284013, 521.0222309090627, 798.4483234436174, 246.60305987639197
20250123160617030_7838_146112_solved.fits, 561580855286346112, 38.452714, 78.104848, 536.5247003313588, 642.1612537244606, 148.97999151813406
20250123160822280_7838_187616_solved.fits, 2297296367892287616, 317.355008, 80.319372, 601.1937039427572, 698.7791762184347, 22.82429237369447
20250123160939447_7838_197856_solved.fits, 1998392349477897856, 359.228849, 58.247021, 623.5085084206055, 640.2268006946972, 99.81006806540277
20250123161049997_7838_176928_solved.fits, 575352345800076928, 30.284627, 86.132607, 519.0083842249581, 634.013009403202, 199.86508213374876
20250123161149936_7838_109024_solved.fits, 1721799921646209024, 214.936474, 81.012947, 519.6122432144863, 784.9685954943163, 152.2663758241714
20250123161335473_7838_180192_solved.fits, 469978793533480192, 60.02307, 58.173939, 563.6619142826139, 657.8012099365981, 93.49290224224063
20250123161446801_7838_120800_solved.fits, 1149939324131420800, 93.410143, 84.486187, 454.44489371554545, 682.8854504456614, 165.67517026313178
20250123161528081_7838_104928_solved.fits, 2466224372311404928, 28.039226, -7.848211, 646.1229864589745, 659.4134111652955, 312.9559717525927
20250123161629343_7838_188448_solved.fits, 554167879173688448, 56.613796, 76.796022, 515.6059199085299, 650.5312077749073, 231.48225853607659
20250123161723433_7838_115296_solved.fits, 1134446655539815296, 165.757722, 82.140179, 466.6847868799229, 744.7168435607362, 276.23787298710783
20250123161847028_7838_101888_solved.fits, 456224448523701888, 32.002399, 54.392669, 609.0296699892292, 646.8424645553657, 7.500422586183042
20250123162011054_7838_122240_solved.fits, 485167515873722240, 89.230853, 70.064828, 502.3606586833752, 684.3613006052065, 113.97796279573198
20250123162151191_7838_181632_solved.fits, 1722934553223381632, 236.858274, 82.467219, 309.95911341502193, 802.7512406775857, 12.023755194816651
20250123162437987_7838_114912_solved.fits, 315872545150614912, 24.007367, 32.067485, 654.2921994460322, 659.3700730039777, 185.99832788762328
20250123162556693_7838_169920_solved.fits, 1719223460961169920, 201.077824, 82.213125, 501.021749774274, 779.5131211934823, 332.6682021603743
20250123162727577_7838_152320_solved.fits, 2504535622325752320, 28.03866, -2.792629, 650.9202673408626, 639.5429748133794, 1.2227691636480307
20250123162901558_7838_126528_solved.fits, 141039201218726528, 40.001572, 35.304716, 640.6548759690462, 641.5115469418678, 170.8951285781542
20250123162936487_7838_169536_solved.fits, 467850035940769536, 45.758056, 63.994336, 577.1664825147113, 648.2831897179539, 275.1193004295047
